rule_id,support_id,env_id,din,zona_doccia,humidity_band,cohesion,cracks,tile_bedding,hollow
F_TILE_COLLA,F_TILE,ORD,0,0,,,,COLLA,NO_OR_FEW
F_TILE_SABCEM,F_TILE,ORD,0,0,,,,SABCEM,NO_OR_FEW
F_TILE_FUGA,F_TILE,ORD,0,0,,,,,NO_OR_FEW
F_TILE_HOLLOW_S,F_TILE,ORD,0,0,,,,,SOME
F_TILE_HOLLOW_A,F_TILE,ORD,0,0,,,,,ALL
F_COT_LE8,F_COT,ORD,0,0,LE8,,,,
F_COT_GT8,F_COT,ORD,0,0,GT8_OR_NOBARR,,,,
F_SLEV_OK,F_SLEV,ORD,0,0,,,,,
F_MAR,F_MAR,ORD,0,0,,,,,
F_TV,F_TV,ORD,0,0,,,,,
F_ZMX,F_ZMX,ORD,0,0,,,,,
F_PAR_RM,F_PAR_RM,ORD,0,0,,,,,
F_COMP_AS,F_COMP,ORD,0,0,,,,,
F_COMP_EP,F_COMP,ORD,0,0,,,,,
W_INTG_ORD,W_INT_G,ORD,0,0,,,,,
W_INTG_BAG,W_INT_G,BAG,0,0,,,,,
W_INTG_DOC,W_INT_G,DOC,0,1,,,,,
W_GYP_ORD_PERF,W_GYP,ORD,0,0,,PERFETTO,,,
W_GYP_ORD_RETT,W_GYP,ORD,0,0,,RETTIFICA,,,
W_GYP_BAG,W_GYP,BAG,0,0,,,,,
W_GYP_DOC,W_GYP,DOC,0,1,,,,,
W_FIB_ALL,W_FIB,DOC,0,1,,,,,
W_TILE_BAG_PERF,W_TILE,BAG,0,0,,LEV_OK,,,
W_TILE_DOC_PERF,W_TILE,DOC,0,1,,LEV_OK,,,
W_TILE_BAG_NPERF,W_TILE,BAG,0,0,,LEV_NOK,,,
W_TILE_DOC_NPERF,W_TILE,DOC,0,1,,LEV_NOK,,,
W_MOS_BAG,W_MOS,BAG,0,0,,,,,
W_MOS_DOC,W_MOS,DOC,0,1,,,,,
W_TR_OPEN,W_TR_OPEN,ORD,0,0,,,,,
W_TR_CLOSED,W_TR_CLOSED,ORD,0,0,,,,,
W_SHW_EXIST,W_SHW_MOD,DOC,0,1,,PIATTO_ESIST,,,
W_SHW_NEW,W_SHW_MOD,DOC,0,1,,PIATTO_NEW,,,
W_DIN_BASE,W_DIN,DIN,1,1,,BASE,,,
W_DIN_NEW,W_DIN,DIN,1,1,,PIATTO_NEW,,,
F_MAS_LE3_SOL_CRNO,F_MAS,ORD,0,0,LE3,SOLID,NO,,
F_MAS_LE3_SOL_CRYES,F_MAS,ORD,0,0,LE3,SOLID,YES,,
F_MAS_LE3_SFAR_CRNO,F_MAS,ORD,0,0,LE3,SFAR,NO,,
F_MAS_LE3_SFAR_CRYES,F_MAS,ORD,0,0,LE3,SFAR,YES,,
F_MAS_3_8_SOL_CRNO,F_MAS,ORD,0,0,3_8,SOLID,NO,,
F_MAS_3_8_SOL_CRYES,F_MAS,ORD,0,0,3_8,SOLID,YES,,
F_MAS_3_8_SFAR_CRNO,F_MAS,ORD,0,0,3_8,SFAR,NO,,
F_MAS_3_8_SFAR_CRYES,F_MAS,ORD,0,0,3_8,SFAR,YES,,
F_MAS_GT8_SOL_CRNO,F_MAS,ORD,0,0,GT8_OR_ISSUE,SOLID,NO,,
F_MAS_GT8_SOL_CRYES,F_MAS,ORD,0,0,GT8_OR_ISSUE,SOLID,YES,,
F_MAS_GT8_SFAR_CRNO,F_MAS,ORD,0,0,GT8_OR_ISSUE,SFAR,NO,,
F_MAS_GT8_SFAR_CRYES,F_MAS,ORD,0,0,GT8_OR_ISSUE,SFAR,YES,,
F_CLS_LE3_SOL_CRNO,F_CLS,ORD,0,0,LE3,SOLID,NO,,
F_CLS_LE3_SOL_CRYES,F_CLS,ORD,0,0,LE3,SOLID,YES,,
F_CLS_LE3_SFAR_CRNO,F_CLS,ORD,0,0,LE3,SFAR,NO,,
F_CLS_LE3_SFAR_CRYES,F_CLS,ORD,0,0,LE3,SFAR,YES,,
F_CLS_3_8_SOL_CRNO,F_CLS,ORD,0,0,3_8,SOLID,NO,,
F_CLS_3_8_SOL_CRYES,F_CLS,ORD,0,0,3_8,SOLID,YES,,
F_CLS_3_8_SFAR_CRNO,F_CLS,ORD,0,0,3_8,SFAR,NO,,
F_CLS_3_8_SFAR_CRYES,F_CLS,ORD,0,0,3_8,SFAR,YES,,
F_CLS_GT8_SOL_CRNO,F_CLS,ORD,0,0,GT8_OR_ISSUE,SOLID,NO,,
F_CLS_GT8_SOL_CRYES,F_CLS,ORD,0,0,GT8_OR_ISSUE,SOLID,YES,,
F_CLS_GT8_SFAR_CRNO,F_CLS,ORD,0,0,GT8_OR_ISSUE,SFAR,NO,,
F_CLS_GT8_SFAR_CRYES,F_CLS,ORD,0,0,GT8_OR_ISSUE,SFAR,YES,,
F_PAR_AS_ORD,F_PAR_AS,ORD,0,0,,,,,
F_PAR_EP_ORD,F_PAR_EP,ORD,0,0,,,,,
