item,potlife_min,min_overcoat,max_overcoat,sanding
Primer SW,120,2h,12h,oltre 12h grana 80/120
Rasante Base,n/a,4-5h,nessuno,operativo grana 40
Rasante Base Quarzo,20,6h,6h,oltre 6h grana 40 o diamante; comunque SI
Fondo Base (no spolvero),10 (massa),12h,24h,oltre 24h grana 40
Fondo Base (con spolvero),10 (massa),12h,nessuno,sempre grana 36/40
Primer Bond SW,n/a,3h / 5-6h con Additivo Plus,nessuno,no
Primer Bond SW SQ,n/a,4h / 5-6h con Additivo Plus 10%,nessuno,n/d
BV4,primer 120 / rasante 20,rasante stesso giorno del primer,nessuno,sempre 36/40
Massetto epossidico,20,4-8h (dopo),nessuno,sempre grana 40 o diamante; primer FB a fresco
Rasante Fondo Fino,n/a,24h (mm) / 7gg (5cm),n/a,non obbl. 80/120
NATURAL,30,4h tra passaggi,nessuno,fondo 80; finitura 120/150; no sanding tra finiture Alizeè/EVIDENCE; post finitura2 150/180
DEKORA,120,12h fondo->finitura; finitura2 a fresco ~1h,nessuno,prep 40/80; post 180; 24h
LAMINE,20 (fondo),8h,nessuno,120
CORLITE,30,24-36h; EVIDENCE contrasto entro 15-20 min,n/a,180 pre-protettivi
MATERIAL,60,12h prima colore superficiale,nessuno,120/150
PROTEGGO Color Opaco H2O,30,4h,24h,oltre 24h 120/150; copertura critica 2 o 3 mani
